method,pattern,size,twotc,seed,completion,tardy
full_daf,Uniform,200,10%,0,97.76851913740903,1.77339567393355
full_daf,Uniform,200,10%,1,96.96618318585645,1.214666172894365
full_daf,Uniform,200,10%,2,98.3632208558567,1.5052719025691035
full_daf,Uniform,200,10%,3,98.2189857595207,1.9348857941621929
full_daf,Uniform,200,10%,4,99.79173687211166,1.213318786774721
full_daf,Uniform,200,10%,5,98.96301786347831,1.6843121314999436
full_daf,Uniform,200,10%,6,99.11083540832608,0.5480523220569014
full_daf,Uniform,200,10%,7,98.03846376735524,1.6476968360901414
full_daf,Uniform,200,10%,8,98.16753228948475,1.1548487493523365
full_daf,Uniform,200,10%,9,98.01155658191107,1.0713178908599448
full_daf,Uniform,200,20%,0,98.60003808543057,1.5927182864791087
full_daf,Uniform,200,20%,1,98.66547492910794,2.523890920172869
full_daf,Uniform,200,20%,2,97.96219754407751,1.6964398708527277
full_daf,Uniform,200,20%,3,98.25638076997332,0.34633884543367177
full_daf,Uniform,200,20%,4,98.82212284090717,1.9509504937560078
full_daf,Uniform,200,20%,5,98.19972816836996,0.9272809316132029
full_daf,Uniform,200,20%,6,97.31709058163653,1.041004756324679
full_daf,Uniform,200,20%,7,98.10532777737798,1.637888200732123
full_daf,Uniform,200,20%,8,98.00800239828256,1.652567771040612
full_daf,Uniform,200,20%,9,98.22824643221126,1.2839465532881293
full_daf,Uniform,200,30%,0,99.00841241119049,1.2372037555290087
full_daf,Uniform,200,30%,1,99.63050054644621,1.3747731981304996
full_daf,Uniform,200,30%,2,98.71743347735736,1.4387821326161419
full_daf,Uniform,200,30%,3,97.75730925384349,0.6922815177753819
full_daf,Uniform,200,30%,4,98.6152490586572,1.7455666236183431
full_daf,Uniform,200,30%,5,98.62153336343226,1.5144857648019032
full_daf,Uniform,200,30%,6,97.62943897129107,1.7548962831098547
full_daf,Uniform,200,30%,7,97.6517951064646,1.7132096978423854
full_daf,Uniform,200,30%,8,97.48476178514774,1.463125841819869
full_daf,Uniform,200,30%,9,98.05137476470456,1.61037138709669
full_daf,Uniform,300,10%,0,99.06491094578274,1.3566461221050707
full_daf,Uniform,300,10%,1,98.40228042195275,1.8365070324033645
full_daf,Uniform,300,10%,2,98.18503695438059,0.7446749598764435
full_daf,Uniform,300,10%,3,98.57578415712058,1.4338498807752884
full_daf,Uniform,300,10%,4,98.49725661832271,1.1804819471894583
full_daf,Uniform,300,10%,5,100.02105045211825,1.370147161094361
full_daf,Uniform,300,10%,6,98.0596294079885,2.115202983113716
full_daf,Uniform,300,10%,7,98.21590627364938,1.9805161513265133
full_daf,Uniform,300,10%,8,99.27827270758118,1.0196300661139122
full_daf,Uniform,300,10%,9,97.64880901168439,0.9278327170293795
full_daf,Uniform,300,20%,0,98.34686350798763,1.0566665402986113
full_daf,Uniform,300,20%,1,98.2997572501799,1.6143964483651607
full_daf,Uniform,300,20%,2,98.87239262149066,1.5191554574510873
full_daf,Uniform,300,20%,3,100.08239129794954,1.0106176122499477
full_daf,Uniform,300,20%,4,98.73863364566411,0.3944053199353814
full_daf,Uniform,300,20%,5,97.53478685373872,2.036039920336958
full_daf,Uniform,300,20%,6,98.29548906580854,1.844872394417579
full_daf,Uniform,300,20%,7,97.8390865386805,0.973244687333491
full_daf,Uniform,300,20%,8,98.36550509677704,0.7975822580314833
full_daf,Uniform,300,20%,9,98.12359309946632,1.0306488143574213
full_daf,Uniform,300,30%,0,98.66373491222124,1.3633043884173064
full_daf,Uniform,300,30%,1,98.59799829909312,1.6640171947295197
full_daf,Uniform,300,30%,2,97.06005252945147,1.8876376772557826
full_daf,Uniform,300,30%,3,97.6208281028877,1.4810943671253525
full_daf,Uniform,300,30%,4,98.14712015581476,1.3462218397821732
full_daf,Uniform,300,30%,5,99.02039953772797,0.7436153358941596
full_daf,Uniform,300,30%,6,98.88530827656912,1.2032971372654362
full_daf,Uniform,300,30%,7,98.01313493987216,1.4685683507243408
full_daf,Uniform,300,30%,8,98.58039692301647,1.2632473541293416
full_daf,Uniform,300,30%,9,98.68869054948323,1.681811042964154
full_daf,Uniform,400,10%,0,98.0540138677994,1.6548356228051366
full_daf,Uniform,400,10%,1,99.07675959908006,1.2422822536320377
full_daf,Uniform,400,10%,2,98.45438174260252,0.8102008183903843
full_daf,Uniform,400,10%,3,98.49226561956284,0.7005558494731347
full_daf,Uniform,400,10%,4,97.56303590691869,1.6665602872183705
full_daf,Uniform,400,10%,5,99.58368052065079,1.7624772785654725
full_daf,Uniform,400,10%,6,98.87624009723245,0.7513880172782431
full_daf,Uniform,400,10%,7,99.1454063250556,1.1329628602818862
full_daf,Uniform,400,10%,8,99.18571047388536,0.892849733657353
full_daf,Uniform,400,10%,9,98.30509166170187,2.1076198245783644
full_daf,Uniform,400,20%,0,97.9650864903433,1.569070821965684
full_daf,Uniform,400,20%,1,99.25540695301092,1.3770172005914667
full_daf,Uniform,400,20%,2,98.46448386471602,2.161337343163657
full_daf,Uniform,400,20%,3,98.02224726996788,0.844626209912933
full_daf,Uniform,400,20%,4,98.08838045311377,1.4017310157723353
full_daf,Uniform,400,20%,5,96.79780804230629,1.733887688403142
full_daf,Uniform,400,20%,6,98.43128461533877,1.341142814898519
full_daf,Uniform,400,20%,7,98.35055442200165,0.6060643563334766
full_daf,Uniform,400,20%,8,97.45800849688462,1.4173346135308251
full_daf,Uniform,400,20%,9,98.70885939466207,1.4939589242572162
full_daf,Uniform,400,30%,0,98.39356572841898,1.7032311388918013
full_daf,Uniform,400,30%,1,98.46272982058682,1.2549564442689833
full_daf,Uniform,400,30%,2,99.1754763037361,1.4725379836636192
full_daf,Uniform,400,30%,3,97.82667165562701,1.50344026414647
full_daf,Uniform,400,30%,4,98.97845337057826,1.426471884192178
full_daf,Uniform,400,30%,5,98.62139463544226,0.49865409392296045
full_daf,Uniform,400,30%,6,98.14166090959066,1.127195731056866
full_daf,Uniform,400,30%,7,98.76954614200056,1.758119685523873
full_daf,Uniform,400,30%,8,98.65573008587073,1.6095742220545028
full_daf,Uniform,400,30%,9,99.02723419805794,1.4718691591666169
weighted_rl,Uniform,200,10%,0,96.91219250829099,4.00717339086915
weighted_rl,Uniform,200,10%,1,95.73302039007578,3.797336528537393
weighted_rl,Uniform,200,10%,2,96.3297663087965,5.058994317154361
weighted_rl,Uniform,200,10%,3,95.98573331302579,4.466924754824069
weighted_rl,Uniform,200,10%,4,96.80743597295181,3.8740696067952576
weighted_rl,Uniform,200,10%,5,95.20600671254114,3.3060949523093854
weighted_rl,Uniform,200,10%,6,97.59087899940916,5.351926347161844
weighted_rl,Uniform,200,10%,7,95.57557787918869,5.014738561264684
weighted_rl,Uniform,200,10%,8,96.06979286357873,4.559785019289074
weighted_rl,Uniform,200,10%,9,95.61286946060983,3.7066047178383195
